season,episode,total_lines,michael,dwight,jim,pam,andy,angela,kevin,erin,oscar,darryl,ryan,phyllis,jan,kelly,toby,stanley,holly,meredith,nellie,gabe,robert,david,creed,karen,clark,deangelo,charles,roy,pete,jo
1,1,240,84,29,36,50,0,1,1,0,3,0,8,2,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,2,211,81,17,25,12,0,4,8,0,13,0,4,0,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,255,55,74,42,32,0,5,6,0,9,0,1,0,18,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1,4,243,68,47,49,22,0,7,3,0,14,0,4,5,0,0,4,2,0,10,0,0,0,0,0,0,0,0,0,3,0,0
1,5,232,106,25,21,14,0,3,1,0,2,15,8,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0
1,6,344,106,28,57,42,0,3,4,0,1,0,12,0,8,0,6,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0
2,1,259,96,32,36,40,0,1,1,0,2,1,2,10,9,7,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0
2,2,290,111,11,16,27,0,2,6,0,0,9,1,6,11,0,26,1,0,1,0,0,0,0,0,0,0,0,0,14,0,0
2,3,275,83,55,54,30,0,5,8,0,10,0,5,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,4,332,69,64,53,22,0,17,4,0,4,0,52,6,0,4,0,5,0,4,0,0,0,0,0,0,0,0,0,6,0,0
2,5,281,116,33,32,27,0,15,2,0,7,0,1,3,0,3,0,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0
2,6,269,85,64,49,25,0,3,3,0,0,0,19,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,261,74,24,40,34,0,0,1,0,4,0,6,4,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,8,286,111,44,26,30,0,5,3,0,1,0,1,1,56,2,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
