,season,speaker,episode,speaker_lines,total_lines,percent
0,1,angela,1,1,240,0.41700000000000004
1,1,dwight,1,29,240,12.083
2,1,jan,1,12,240,5.0
3,1,jim,1,36,240,15.0
4,1,kevin,1,1,240,0.41700000000000004
5,1,man,1,1,240,0.41700000000000004
6,1,michael,1,84,240,35.0
7,1,oscar,1,3,240,1.25
8,1,pam,1,50,240,20.833
9,1,phyllis,1,2,240,0.8330000000000001
10,1,roy,1,5,240,2.083
11,1,ryan,1,8,240,3.3329999999999997
12,1,stanley,1,5,240,2.083
13,1,todd packer,1,3,240,1.25
14,1,angela,2,4,211,1.8960000000000001
15,1,dwight,2,17,211,8.057
16,1,jim,2,25,211,11.848
17,1,kelly,2,2,211,0.9480000000000001
18,1,kevin,2,8,211,3.791
19,1,michael,2,81,211,38.389
20,1,mr. brown,2,36,211,17.061999999999998
21,1,oscar,2,13,211,6.161
22,1,pam,2,12,211,5.686999999999999
23,1,ryan,2,4,211,1.8960000000000001
24,1,stanley,2,7,211,3.318
25,1,toby,2,2,211,0.9480000000000001
26,1,angela,3,5,255,1.9609999999999999
27,1,dwight,3,74,255,29.020000000000003
28,1,jan,3,18,255,7.059
29,1,jim,3,42,255,16.471
30,1,kevin,3,6,255,2.3529999999999998
31,1,man on phone,3,3,255,1.176
32,1,meredith,3,3,255,1.176
33,1,michael,3,55,255,21.569
34,1,oscar,3,9,255,3.5290000000000004
35,1,pam,3,32,255,12.549
36,1,ryan,3,1,255,0.392
37,1,stanley,3,6,255,2.3529999999999998
38,1,travel agent,3,1,255,0.392
39,1,angela,4,7,243,2.881
40,1,dwight,4,47,243,19.342000000000002
41,1,everybody,4,5,243,2.0580000000000003
42,1,jim,4,49,243,20.165
43,1,kevin,4,3,243,1.2349999999999999
44,1,meredith,4,10,243,4.115
45,1,michael,4,68,243,27.983999999999998
46,1,oscar,4,14,243,5.761
47,1,pam,4,22,243,9.053
48,1,phyllis,4,5,243,2.0580000000000003
49,1,roy,4,3,243,1.2349999999999999
50,1,ryan,4,4,243,1.646
51,1,stanley,4,2,243,0.823
52,1,toby,4,4,243,1.646
53,1,angela,5,3,232,1.2930000000000001
54,1,darryl,5,15,232,6.465999999999999
55,1,dwight,5,25,232,10.776
56,1,everybody,5,1,232,0.43099999999999994
57,1,jim,5,21,232,9.052
58,1,kevin,5,1,232,0.43099999999999994
59,1,lonny,5,5,232,2.155
60,1,madge,5,3,232,1.2930000000000001
61,1,michael,5,106,232,45.69
62,1,michael and dwight,5,1,232,0.43099999999999994
63,1,oscar,5,2,232,0.8619999999999999
64,1,pam,5,14,232,6.034
65,1,phyllis,5,4,232,1.7239999999999998
66,1,roy,5,12,232,5.172000000000001
67,1,ryan,5,8,232,3.4479999999999995
68,1,stanley,5,3,232,1.2930000000000001
69,1,teammates,5,1,232,0.43099999999999994
70,1,warehouse worker,5,2,232,0.8619999999999999
71,1,worker,5,5,232,2.155
72,1,angela,6,3,344,0.872
73,1,dwight,6,28,344,8.14
74,1,jan,6,8,344,2.326
75,1,jim,6,57,344,16.57
76,1,katy,6,60,344,17.442
77,1,kevin,6,4,344,1.163
78,1,michael,6,106,344,30.814000000000004
79,1,oscar,6,1,344,0.291
80,1,pam,6,42,344,12.209
81,1,roy,6,14,344,4.07
82,1,ryan,6,12,344,3.488
83,1,stanley,6,3,344,0.872
84,1,toby,6,6,344,1.744
85,2,abby,18,12,261,4.598
86,2,angela,18,4,261,1.533
87,2,chet,18,2,261,0.766
88,2,creed,18,4,261,1.533
89,2,darryl,18,1,261,0.383
90,2,dwight,18,22,261,8.429
91,2,edward r. meow,18,7,261,2.682
92,2,jake,18,20,261,7.663
93,2,jim,18,17,261,6.512999999999999
94,2,jim and dwight,18,1,261,0.383
95,2,kelly,18,6,261,2.299
96,2,kevin,18,5,261,1.916
97,2,kids,18,2,261,0.766
98,2,melissa,18,13,261,4.981
99,2,meredith,18,2,261,0.766
100,2,michael,18,77,261,29.502
101,2,michael and dwight,18,2,261,0.766
102,2,miss trudy,18,2,261,0.766
103,2,oscar,18,1,261,0.383
104,2,pam,18,20,261,7.663
105,2,roy,18,1,261,0.383
106,2,ryan,18,10,261,3.8309999999999995
107,2,sasha,18,8,261,3.065
108,2,stanley,18,6,261,2.299
109,2,the kids,18,1,261,0.383
110,2,toby,18,13,261,4.981
111,2,young michael,18,2,261,0.766
112,2,actor,2,2,290,0.69
113,2,albiny,2,2,290,0.69
114,2,angela,2,2,290,0.69
115,2,darryl,2,9,290,3.1029999999999998
116,2,dwight,2,11,290,3.7929999999999997
117,2,jan,2,11,290,3.7929999999999997
118,2,jim,2,16,290,5.5169999999999995
119,2,kevin,2,6,290,2.069
120,2,man in video,2,1,290,0.345
121,2,meredith,2,1,290,0.345
122,2,michael,2,111,290,38.275999999999996
123,2,mr. o'malley,2,1,290,0.345
124,2,pam,2,27,290,9.31
125,2,pam's mom,2,18,290,6.207
126,2,phyllis,2,6,290,2.069
127,2,redheaded actress,2,1,290,0.345
128,2,roy,2,14,290,4.828
129,2,ryan,2,1,290,0.345
130,2,stanley,2,1,290,0.345
131,2,toby,2,26,290,8.966000000000001
132,2,todd packer,2,19,290,6.552
133,2,video,2,1,290,0.345
134,2,warehouse guy,2,3,290,1.034
135,2,actor,9,1,280,0.357
136,2,actress,9,1,280,0.357
137,2,angela,9,13,280,4.643
138,2,bill,9,5,280,1.786
139,2,dwight,9,34,280,12.142999999999999
140,2,girl acting pregnant,9,1,280,0.357
141,2,improv teacher,9,15,280,5.357
142,2,jim,9,56,280,20.0
143,2,kelly,9,1,280,0.357
144,2,kevin,9,8,280,2.857
145,2,mark,9,2,280,0.714
146,2,mary-beth,9,3,280,1.0710000000000002
147,2,michael,9,82,280,29.286
148,2,michael and jim,9,2,280,0.714
149,2,oscar,9,6,280,2.1430000000000002
150,2,pam,9,38,280,13.571
151,2,phyllis,9,4,280,1.429
152,2,ryan,9,2,280,0.714
153,2,sadiq (it guy),9,4,280,1.429
154,2,stanley,9,2,280,0.714
155,2,all,10,1,290,0.345
156,2,angela,10,9,290,3.1029999999999998
157,2,bob vance,10,10,290,3.4479999999999995
158,2,creed,10,4,290,1.379
159,2,darryl,10,11,290,3.7929999999999997
160,2,dwight,10,41,290,14.138
161,2,jim,10,28,290,9.655
162,2,kelly,10,8,290,2.759
163,2,kevin,10,11,290,3.7929999999999997
164,2,kevin & oscar,10,1,290,0.345
165,2,liquor store clerk,10,2,290,0.69
166,2,meredith,10,12,290,4.138
167,2,michael,10,87,290,30.0
168,2,oscar,10,8,290,2.759
169,2,pam,10,17,290,5.862
170,2,phyllis,10,5,290,1.7239999999999998
171,2,"phyllis, meredith, michael, kevin",10,1,290,0.345
172,2,roy,10,8,290,2.759
173,2,ryan,10,15,290,5.172000000000001
174,2,stanley,10,5,290,1.7239999999999998
175,2,toby,10,3,290,1.034
176,2,todd packer,10,3,290,1.034
177,2,all the men,15,1,286,0.35000000000000003
178,2,angela,15,5,286,1.748
179,2,darryl,15,27,286,9.440999999999999
180,2,dwight,15,14,286,4.8950000000000005
181,2,group chant,15,1,286,0.35000000000000003
182,2,guy,15,4,286,1.399
183,2,jan,15,61,286,21.329
184,2,jim,15,22,286,7.692
185,2,kelly,15,9,286,3.147
186,2,kevin,15,3,286,1.049
187,2,lonny,15,3,286,1.049
188,2,madge,15,2,286,0.699
189,2,meredith,15,5,286,1.748
190,2,michael,15,76,286,26.573
191,2,pam,15,26,286,9.091000000000001
192,2,phyllis,15,9,286,3.147
193,2,roy,15,15,286,5.244999999999999
194,2,ryan,15,2,286,0.699
195,2,stanley,15,1,286,0.35000000000000003
