,season,episode,speaker,percent
0,1,1,angela,0.41700000000000004
1,1,1,dwight,12.083
2,1,1,jan,5.0
3,1,1,jim,15.0
4,1,1,kevin,0.41700000000000004
5,1,1,man,0.41700000000000004
6,1,1,michael,35.0
7,1,1,oscar,1.25
8,1,1,pam,20.833
9,1,1,phyllis,0.8330000000000001
10,1,1,roy,2.083
11,1,1,ryan,3.3329999999999997
12,1,1,stanley,2.083
13,1,1,todd packer,1.25
14,1,2,angela,1.8960000000000001
15,1,2,dwight,8.057
16,1,2,jim,11.848
17,1,2,kelly,0.9480000000000001
18,1,2,kevin,3.791
19,1,2,michael,38.389
20,1,2,mr. brown,17.061999999999998
21,1,2,oscar,6.161
22,1,2,pam,5.686999999999999
23,1,2,ryan,1.8960000000000001
24,1,2,stanley,3.318
25,1,2,toby,0.9480000000000001
26,1,3,angela,1.9609999999999999
27,1,3,dwight,29.020000000000003
28,1,3,jan,7.059
29,1,3,jim,16.471
30,1,3,kevin,2.3529999999999998
31,1,3,man on phone,1.176
32,1,3,meredith,1.176
33,1,3,michael,21.569
34,1,3,oscar,3.5290000000000004
35,1,3,pam,12.549
36,1,3,ryan,0.392
37,1,3,stanley,2.3529999999999998
38,1,3,travel agent,0.392
39,1,4,angela,2.881
40,1,4,dwight,19.342000000000002
41,1,4,everybody,2.0580000000000003
42,1,4,jim,20.165
43,1,4,kevin,1.2349999999999999
44,1,4,meredith,4.115
45,1,4,michael,27.983999999999998
46,1,4,oscar,5.761
47,1,4,pam,9.053
48,1,4,phyllis,2.0580000000000003
49,1,4,roy,1.2349999999999999
50,1,4,ryan,1.646
51,1,4,stanley,0.823
52,1,4,toby,1.646
53,1,5,angela,1.2930000000000001
54,1,5,darryl,6.465999999999999
55,1,5,dwight,10.776
56,1,5,everybody,0.43099999999999994
57,1,5,jim,9.052
58,1,5,kevin,0.43099999999999994
59,1,5,lonny,2.155
60,1,5,madge,1.2930000000000001
61,1,5,michael,45.69
62,1,5,michael and dwight,0.43099999999999994
63,1,5,oscar,0.8619999999999999
64,1,5,pam,6.034
65,1,5,phyllis,1.7239999999999998
66,1,5,roy,5.172000000000001
67,1,5,ryan,3.4479999999999995
68,1,5,stanley,1.2930000000000001
69,1,5,teammates,0.43099999999999994
70,1,5,warehouse worker,0.8619999999999999
71,1,5,worker,2.155
72,1,6,angela,0.872
73,1,6,dwight,8.14
74,1,6,jan,2.326
75,1,6,jim,16.57
76,1,6,katy,17.442
77,1,6,kevin,1.163
78,1,6,michael,30.814000000000004
79,1,6,oscar,0.291
80,1,6,pam,12.209
81,1,6,roy,4.07
82,1,6,ryan,3.488
83,1,6,stanley,0.872
84,1,6,toby,1.744
85,2,18,abby,4.598
86,2,18,angela,1.533
87,2,18,chet,0.766
88,2,18,creed,1.533
89,2,18,darryl,0.383
90,2,18,dwight,8.429
91,2,18,edward r. meow,2.682
92,2,18,jake,7.663
93,2,18,jim,6.512999999999999
94,2,18,jim and dwight,0.383
95,2,18,kelly,2.299
96,2,18,kevin,1.916
97,2,18,kids,0.766
98,2,18,melissa,4.981
99,2,18,meredith,0.766
100,2,18,michael,29.502
101,2,18,michael and dwight,0.766
102,2,18,miss trudy,0.766
103,2,18,oscar,0.383
104,2,18,pam,7.663
105,2,18,roy,0.383
106,2,18,ryan,3.8309999999999995
107,2,18,sasha,3.065
108,2,18,stanley,2.299
109,2,18,the kids,0.383
110,2,18,toby,4.981
111,2,18,young michael,0.766
112,2,2,actor,0.69
113,2,2,albiny,0.69
114,2,2,angela,0.69
115,2,2,darryl,3.1029999999999998
116,2,2,dwight,3.7929999999999997
